https://www.linkedin.com/company/cohesity,Cohesity,"Storage, Backup, Recovery, Analytics, Test & Dev, Distributed Systems, Data Protection, startups",Computer Software,http://www.cohesity.com,"451 El Camino Real Santa Clara, California 95050 United States",201-500,"Cohesity is a startup based in Santa Clara, founded in 2013 by Mohit Aron, who also happens to be the co-founder and former CTO of Nutanix. Mohit Aron has embedded the spirit of distributed architectures and hyper-converged technologies into Cohesity’s DNA- the result is a distributed scale-out hyper-converged platform that focuses on secondary storage needs.  

Cohesity’s mission is to eliminate secondary storage silos and provide an all-encompassing single solution. Secondary storage is a market with a much larger need for capacity than primary storage. In fact, up to 80% of all the data generated in the world qualifies for secondary storage and so far there is no established leader in the secondary storage market, which is a massive opportunity for Cohesity!    

Check out this article that simply explains Cohesity: http://bit.ly/2vQp449

For more information, visit www.cohesity.com and follow @cohesity on Twitter.",2013,"{'Rubrik, Inc.': 'https://www.linkedin.com/company/rubrik-inc', 'Nutanix': 'https://www.linkedin.com/company/nutanix', 'Hedvig Inc.': 'https://www.linkedin.com/company/hedvig-inc', 'Datrium': 'https://www.linkedin.com/company/datrium', 'Pure Storage': 'https://www.linkedin.com/company/pure-storage', 'Springpath': 'https://www.linkedin.com/company/springpath'}"
https://www.linkedin.com/company/movinga-gmbh,Movinga,,Logistics and Supply Chain,http://www.movinga.d,,201-500,"Movinga is Europe’s fastest growing online provider of removals. Our primary mission is simple: to bring the moving process into the 21st century. We achieve this with a transparent and user-friendly online booking process. Our great customer service combined with our use of technology have helped us to improve the moving experience for customers across the globe. 

As an international moving service, we assist people daily to schedule and book their move in only a few clicks. Our booking service offers our clients a guaranteed fixed price that can be tailored to their specific needs. We prove that high quality doesn’t have to come at a high price. 

Our services are in demand and we have experienced unprecedented growth throughout Europe. We are already active in the German, French, Austrian and Swiss markets. To match this growth we are expanding our team with the sharpest talent we can find. Our positions range from moving specialists to market managers, from designers to developers, and everything in between. We are all driven by one common goal: to create a brand which is synonymous with moving worldwide. 

Movinga. Book Easy. Move Easy. No Surprises.",2015,"{'Move24 Group GmbH': 'https://www.linkedin.com/company/move24-group-gmbh', 'Rocket Internet SE': 'https://www.linkedin.com/company/rocket-internet-ag', 'Dubsmash': 'https://www.linkedin.com/company/dubsmash', 'N26': 'https://www.linkedin.com/company/n26', 'Blinkist': 'https://www.linkedin.com/company/blinkist', 'Homebell': 'https://www.linkedin.com/company/homebell'}"
https://www.linkedin.com/company/leanplum,Leanplum,"Mobile Apps for Brands, Mobile Apps, Big Data, Mobile App AB Testing, Dynamic Content, Mobile App Analytics, iOS, Android, Retention, Engagement, Personalization, Digital Agencies, Tablets, Optimization, Mobile Marketing Automation, Mobile Messaging",Internet,http://leanplum.me/UuYn30a5eF2,"- San Francisco, CA 94103 United States",51-200,"Leanplum is the mobile marketing platform built for engagement. Leanplum helps brands orchestrate multi-channel campaigns — from messaging to the in-app experience — all from a single, integrated platform. Mobile disruptors like Lyft, Tinder, Grab, TED, and Zynga rely on Leanplum to accelerate growth and build long-term customer relationships. Delivering personal engagement in the moments that matter, Leanplum captures more than 15 billion data points each day and sends more than 5 billion push notifications per month. Founded in 2012, Leanplum is based in San Francisco with offices in New York, London, Singapore, and Sofia, Bulgaria. Leanplum has received more than $46MM in funding from Canaan Partners, Kleiner Perkins, and Shasta Ventures. Leanplum has been named to Business Insider's Most Valuable Enterprise Startups of 2016, The Muse's Most Innovative Startups, and SF Business Times’ Best Places to Work. Learn more at www.leanplum.com.",2012,"{'Appboy': 'https://www.linkedin.com/company/appboy', 'Localytics': 'https://www.linkedin.com/company/localytics', 'Apptimize, Inc.': 'https://www.linkedin.com/company/apptimize-inc-', 'Kahuna': 'https://www.linkedin.com/company/kahuna-inc', 'Iterable': 'https://www.linkedin.com/company/iterable', 'Mixpanel': 'https://www.linkedin.com/company/mixpanel-inc-'}"
https://www.linkedin.com/company/forter,Forter,"fraud prevention, ecommerce, data analytics, risk management",Internet,http://forter.com,"315 W 36th St New York, New York 10018 United States",51-200,"Forter provides new generation fraud prevention to meet the challenges faced by modern enterprise e-commerce. Only Forter provides fully automated, real-time Decision as a Service™ fraud prevention, with approve/decline decisions backed by a 100% chargeback guarantee. The system eliminates the need for rules, scores or manual reviews, making fraud prevention friction-free.

The result is fraud prevention that is invisible to buyers and empowers merchants with increased approvals, smoother checkout and the near elimination of false positives - meaning more sales and happier customers.

Behind the scenes, Forter’s machine learning technology combines advanced cyber intelligence with behavioral and identity analysis to create a multi-layered fraud detection mechanism.

The result is best for online merchants, and best for online customers.",2013,"{'Riskified': 'https://www.linkedin.com/company/riskified', 'Sift Science': 'https://www.linkedin.com/company/sift-science', 'Kount': 'https://www.linkedin.com/company/kount', 'ThreatMetrix': 'https://www.linkedin.com/company/threatmetrix', 'Signifyd': 'https://www.linkedin.com/company/signifyd', 'iovation Inc.': 'https://www.linkedin.com/company/iovation'}"
https://www.linkedin.com/company/memsql,MemSQL,"analytics, real-time analytics, database software, database management, in-memory, speed, SQL, scale, DBMS, real-time transactions",Computer Software,http://www.memsql.com,"534 4th Street San Francisco, CA 94107 United States",51-200,"MemSQL delivers the leading database platform for real-time analytics. Global enterprises use MemSQL to achieve peak performance and optimize data efficiency. With the combined power of database, data warehouse, and streaming workloads in one system, MemSQL helps companies anticipate problems before they occur, turn insights into actions, and stay relevant in a rapidly changing world.",2011,"{'Mesosphere, Inc.': 'https://www.linkedin.com/company/mesosphere', 'Databricks': 'https://www.linkedin.com/company/databricks', 'Trifacta': 'https://www.linkedin.com/company/trifacta', 'Couchbase': 'https://www.linkedin.com/company/couchbase', 'MarkLogic': 'https://www.linkedin.com/company/marklogic', 'Docker, Inc': 'https://www.linkedin.com/company/docker'}"
https://www.linkedin.com/company/fugue-inc-,"Fugue, Inc.",,Computer Software,http://www.fugue.co,"47 E. All Saints Frederick, MD United States",51-200,"Fugue is an infrastructure-level operating system for cloud computing. It builds, enforces, and terminates cloud infrastructure—continuously and automatically. Declare your cloud and let Fugue automate the rest. Available for Amazon Web Services. 

Our founders started Fugue in 2013 to face one of cloud computing’s most vexing challenges—the nitty-gritty management of cloud infrastructure operations for businesses large and small. Since then, we’ve invested the time, effort, and resources required to build a new kind of cloud-native operating system, designed according to cloud’s first principles. No short cuts. Our devoted team of more than 60 skilled engineers and talented creative professionals combine decades of experience with fresh vision and relentless quality control to deliver an innovative approach that works.

We’re based in Frederick, MD, Washington, D.C., and Silicon Valley, CA. But, we span the globe, with team members in New York and Atlanta and as far away as Zurich, Tokyo, and New Zealand, all collaborating daily. We’re venture-backed, having raised $74MM to date, with prescient, supportive partners at New Enterprise Associates, Future Fund (Australia's sovereign wealth fund), The Maryland Venture Fund, and Core Capital. 

Check out career opportunities at Fugue: https://fugue.co/careers/",2013,"{'Fugue': 'https://www.linkedin.com/company/fugue', 'Cloudinary': 'https://www.linkedin.com/company/cloudinary', 'Cirba': 'https://www.linkedin.com/company/cirba', 'Evident.io': 'https://www.linkedin.com/company/evident-io', 'Logz.io': 'https://www.linkedin.com/company/logz-io', 'Reputation.com': 'https://www.linkedin.com/company/reputation-com'}"
https://www.linkedin.com/company/brandwatch,Brandwatch,"Social Media, Social Media Monitoring, Analysis, Data, Social media reporting, Social Listening, Research, Engagement, Social Intelligence, social insights, consumer market insights",Internet,http://www.brandwatch.com,"Sovereign House Church Street Brighton, East Sussex BN11UJ United Kingdom",201-500,"Brandwatch is the world’s leading enterprise social intelligence company, allowing users to analyze and utilize conversations from across the social web. 

It is the perfect platform to make sense of the chatter about your brand online. 

We crawl the internet, archiving social media data from over 90 million sources in 27 languages. Users are then offered the chance to search this data in Brandwatch's web-based interface, both proactively and retroactively for mentions of their brand or keyword, using a sophisticated and powerful query creation process. 

The app includes an advanced suite of features that allows the data to be chopped and sliced to provide useful insights, through graphing, categorization, geolocation, metadata and countless other components. 

Understanding and monitoring your brand is just the start: Brandwatch also lets users engage with the communities they have isolated, responding to, assigning workflow and managing social media mentions with ease.",2007,"{'Synthesio': 'https://www.linkedin.com/company/synthesio', 'Sprinklr': 'https://www.linkedin.com/company/sprinklr', 'Sysomos': 'https://www.linkedin.com/company/sysomos-inc-', 'Crimson Hexagon': 'https://www.linkedin.com/company/crimsonhexagon', 'Digimind': 'https://www.linkedin.com/company/digimind', 'Hootsuite': 'https://www.linkedin.com/company/hootsuite'}"
https://www.linkedin.com/company/mesosphere,"Mesosphere, Inc.","Distributed Systems, Cloud, Datacenter Operating System, Mesos, Containers",Computer Software,https://mesosphere.com,"88 Stevenson Street San Francisco, California 94105 United States",201-500,"Most technology systems today are distributed systems, made up of app servers, databases, and caches. Managing distributed systems is tricky, and writing distributed systems is even trickier. Our mission is to make building and running these systems as easy as building or running an app on your smartphone.

Mesosphere (Twitter: @Mesosphere) is dedicated to helping enterprises unlock the next generation of datacenter scale, efficiency and automation with Apache Mesos. Mesosphere’s commercial product is the Mesosphere Data Center Operating System (DC/OS), a new kind of operating system that spans the entire datacenter and pools datacenter resources and automates IT operations. Backed by Andreessen Horowitz, Data Collective, Fuel Capital and Kleiner Perkins Caufield & Byers, Mesosphere is headquartered in San Francisco with a second office in Hamburg, Germany.",2013,"{'Docker, Inc': 'https://www.linkedin.com/company/docker', 'Databricks': 'https://www.linkedin.com/company/databricks', 'CoreOS': 'https://www.linkedin.com/company/coreos', 'Slack': 'https://www.linkedin.com/company/tiny-speck-inc', 'Confluent': 'https://www.linkedin.com/company/confluent', 'GitHub': 'https://www.linkedin.com/company/github'}"
https://www.linkedin.com/company/cybereason,Cybereason,"Security, Cybersecurity, Information Security, Cybercriminals, Hacking, Reverse engineering, Advanced Persistent Threats, Incident response, Malware, Forensics, Espionage, Cryptography, Machine learning, Big data, Enterprise security, Threat Intel, InfoSec, Cyber Security",Computer & Network Security,http://www.cybereason.com,"200 Clarendon Street Floor 21 Boston, MA 02116 United States",201-500,"Cybereason is the leader in endpoint protection, offering endpoint detection and response, next-generation antivirus, managed monitoring and IR services. 

Founded by elite intelligence professionals born and bred in offense-first hunting, Cybereason gives enterprises the upper hand over cyber adversaries. 

The Cybereason platform is powered by a custom-built in-memory graph, the only truly automated hunting engine anywhere. It detects behavioral patterns across every endpoint and surfaces malicious operations in an exceptionally user-friendly interface. 

Cybereason is privately held and headquartered in Boston with offices in London, Tel Aviv, and Tokyo.",2012,"{'Cylance Inc.': 'https://www.linkedin.com/company/cylanceinc', 'CrowdStrike': 'https://www.linkedin.com/company/crowdstrike', 'CounterTack': 'https://www.linkedin.com/company/countertack', 'Carbon Black, Inc.': 'https://www.linkedin.com/company/carbon-black-inc', 'CyberArk': 'https://www.linkedin.com/company/cyber-ark-software', 'SentinelOne': 'https://www.linkedin.com/company/sentinelone'}"
https://www.linkedin.com/company/xamarin,Xamarin,"iOS, Android, Cross-Platform Development, Mobile Development, Android Development, iOS Development, .NET for Mobile, C# for Mobile, Mobile Testing, Crash Reporting, Automated Testing",Computer Software,http://xamarin.com,"394 Pacific Ave San Francisco, CA 94111 United States",201-500,"Xamarin is the new standard for enterprise mobile development and quality. Xamarin is used by over 1 million developers to build, test and monitor mission-critical consumer and enterprise apps. More than 100 Fortune 500 companies use Xamarin, and the company’s global customer base in 150 countries includes Dow Jones, Bosch, McKesson, Halliburton, Blue Cross Blue Shield, Cognizant, GitHub, Rdio and WebMD. Xamarin is a Visionary in Gartner’s 2014 Magic Quadrant report for Mobile Application Development Platforms. For more information, please visit: xamarin.com or follow us on Twitter at @xamarinhq.

Xamarin Mobile App Development Platform - Benefits

- Share Code Between Platforms - 
Save time by sharing data structures and non-UI code between iOS, Android and Windows Phone 7.

- Use Your Existing .NET Skills - 
Reuse your .NET skills and write code in your mobile apps using C# and familiar libraries.

- Powerful and Modern Framework - 
Write code using a modern, strongly typed, garbage collected framework.

- Easy Access To Native APIs - 
Access to thousands of native iOS and Android APIs.

- Target Multiple Devices - 
Easily write apps that target mobile devices running iOS, Android and Windows Phone, iPad, iPod Touch and Android devices.

- Rich IDE Support - 
Full support for autocomplete in our rich IDE. Or use Visual Studio for Android development.",2011,"{'Xamarin.Labs Ltd.': 'https://www.linkedin.com/company/xamarin-labs-ltd-', 'Xamarin Magazine': 'https://www.linkedin.com/company/xamarinmagazine', 'Microsoft': 'https://www.linkedin.com/company/microsoft', 'Adaptive Insights': 'https://www.linkedin.com/company/adaptive-insights', 'Google': 'https://www.linkedin.com/company/google', 'Azuga, Inc.': 'https://www.linkedin.com/company/azuga-inc-'}"
